Renewable_Zone,State,Generation_GWh_2034,Curtailment_GWh_2034,Total_Potential_GWh_2034,Curtailment_Ratio_Pct_2034,Generation_GWh_2039,Curtailment_GWh_2039,Total_Potential_GWh_2039,Curtailment_Ratio_Pct_2039
SCE Northern,CA,31216,1300,32516,4,33455,1373,34828,3.94
SCE Eastern,CA,20184,277,20461,1.36,23695,487,24182,2.01
PG&E Fresno,CA,16628,1709,18337,9.32,20931,2585,23516,10.99
East of Pisgah,CA,12585,764,13349,5.72,16944,952,17896,5.32
PG&E Central Valley,CA,11073,416,11488,3.62,17073,595,17668,3.37
OOS W-SunZia,NM,8375,1183,9558,12.38,13268,2592,15860,16.34
SDG&E Eastern and Bulk,CA,14197,427,14624,2.92,14953,525,15477,3.39
OSW-Diablo,CA,13365,769,14134,5.44,13319,815,14134,5.76
SCE North of Lugo,CA,10633,411,11044,3.72,12193,602,12795,4.7
OOS W-WY,WY,10761,468,11229,4.17,11087,509,11596,4.39
PG&E Kern,CA,6053,322,6375,5.06,9890,412,10301,4
OSW-Humboldt,CA,4698,54,4752,1.14,8140,63,8203,0.77
NM,NM,4825,1877,6702,28,4447,2255,6702,33.65
OOS W-Tesla,WY,0,0,0,0,5672,126,5798,2.18
PG&E Central Coast,CA,4228,144,4372,3.3,4917,281,5198,5.4
PG&E North Valley,CA,3124,147,3271,4.5,4156,192,4348,4.42
SCE Metro,CA,2173,68,2241,3.04,3008,107,3115,3.43
OOS W-ID,ID,2798,141,2939,4.8,2780,160,2939,5.44
OOS W-NW,PNW,0,0,0,0,1819,983,2802,35.09
AZ,AZ,1920,833,2753,30.26,1708,1045,2753,37.96
IID,CA,1408,1,1410,0.08,1409,1,1410,0.05
PG&E Greater Bay Area,CA,1193,64,1256,5.08,1206,50,1256,4.01
San Diego,CA,712,4,716,0.54,713,3,716,0.48
NW,PNW,554,28,582,4.77,552,31,582,5.25
SMUD,CA,379,29,408,7.07,384,25,408,6.06
PG&E North Coast,CA,387,10,397,2.42,393,4,397,0.89
NV,NV,328,49,376,12.91,322,54,376,14.38
PG&E North Bay,CA,56,4,60,6.85,56,4,60,6.27
PG&E Humboldt,CA,12,0,12,3.79,12,0,12,2.95
