project_name,service_area,project_cost_millions
North Oakland Reinforcement Project,PG&E,1127
Greater Bay Area 500 kV Transmission Reinforcement,PG&E,700
Downtown Reliability Reinforcement,SDG&E,500
South Bay Reinforcement Project,PG&E,434
South Oakland Reinforcement Project,PG&E,250
San Jose B – NRS 230 kV line,PG&E,200
Serrano 500 kV SCD Mitigation,SCE,183
Metcalf Substation 500/230 kV Transformer Bank Addition,PG&E,182
Metcalf-Piercy & Swift and Newark-Dixon Landing Upgrade,PG&E,135
Gold Hill-El Dorado Reinforcement,PG&E,127
