City,Data_Centers,Zone,Curtailment_Rate_Pct_2034
Fresno,3,PG&E Fresno,9.32
Sacramento,20,SMUD,7.07
Santa Cruz,1,PG&E Central Coast,3.3
Fremont,5,PG&E Greater Bay Area,5.08
Palo Alto,3,PG&E Greater Bay Area,5.08
Oakland,1,PG&E Greater Bay Area,5.08
Hayward,4,PG&E Greater Bay Area,5.08
Emeryville,2,PG&E Greater Bay Area,5.08
Mountain View,1,PG&E Greater Bay Area,5.08
San Jose,47,PG&E Greater Bay Area,5.08
San Francisco,11,PG&E Greater Bay Area,5.08
Santa Clara,64,PG&E Greater Bay Area,5.08
Bakersfield,3,PG&E Kern,5.06
Modesto,2,PG&E Central Valley,3.62
Stockton,3,PG&E Central Valley,3.62
Goleta,1,PG&E Central Coast,3.3
Santa Barbara,2,PG&E Central Coast,3.3
San Luis Obispo,4,PG&E Central Coast,3.3
Tustin,1,SCE Metro,3.04
Hawthorne,1,SCE Metro,3.04
Burbank,1,SCE Metro,3.04
El Segundo,2,SCE Metro,3.04
Irvine,15,SCE Metro,3.04
Los Angeles,57,SCE Metro,3.04
Manchester CA,1,PG&E North Coast,2.42
Riverside,4,SCE Eastern,1.36
San Bernardino,1,SCE Eastern,1.36
San Diego,14,San Diego,0.54
El Centro,10,IID,0.08
