Hour,Electricity_Price_$/MWh,Carbon_Intensity_kg_CO2/MWh,Curtailment_Available_MW,Curtailment_Raw_MW,Battery_Charge_MW,Battery_Discharge_MW,Load_Jobs_As_Is_MW,Load_Curtailment_Only_MW,Load_Carbon_Aware_MW,Load_Jobs_As_Is_With_Battery_MW,Load_Curtailment_Only_With_Battery_MW,Load_Carbon_Aware_With_Battery_MW
0,37.97327,409.93428306022463,0.0,0.0,0.0,40.0,19.0,14.0,12.0,19.0,22.0,20.0
1,34.94339,397.2347139765763,0.0,0.0,0.0,40.0,19.0,14.0,12.0,19.0,22.0,20.0
2,33.81389,412.95377076201385,0.0,0.0,0.0,40.0,19.0,14.0,12.0,19.0,22.0,20.0
3,35.01904,430.4605971281605,0.0,0.0,0.0,40.0,19.0,14.0,12.0,19.0,22.0,20.0
4,48.234,395.31693250553326,0.0,0.0,0.0,0.0,19.0,14.0,12.0,19.0,14.0,12.0
5,54.42713,395.3172608610164,0.0,0.0,0.0,0.0,19.0,14.0,12.0,19.0,14.0,12.0
6,46.72255,430.11448094667395,0.3358306684177031,16.791533420885155,0.0,0.0,19.0,18.2,12.0,19.0,18.2,12.0
7,39.71996,390.700790020637,5.6318281487106185,281.5914074355309,40.0,0.0,19.0,19.46,12.0,19.0,7.460000000000001,4.0
8,21.48669,333.3713476310425,13.078642765336205,653.9321382668103,40.0,0.0,19.0,19.838,16.8,19.0,7.838000000000001,8.8
9,15.43327,342.7043223413155,15.570958893577902,778.5479446788951,40.0,0.0,19.0,19.9514,18.72,19.0,7.9514,10.719999999999999
10,14.6725,292.6398128796373,20.0,1120.6558073454264,40.0,0.0,19.0,19.985419999999998,19.488,19.0,7.985419999999998,11.488
11,4.34607,304.1528223677403,19.771929618303208,988.5964809151604,17.77777777777778,0.0,19.0,19.995625999999998,19.7952,19.0,14.662292666666666,16.239644444444444
12,4.07112,294.8468684639741,20.0,1256.614255340662,0.0,0.0,19.0,19.9986878,19.91808,19.0,19.9986878,19.91808
13,0.90063,243.07305398281943,20.0,1355.6533363994592,0.0,0.0,19.0,19.99960634,19.967232,19.0,19.99960634,19.967232
14,5.49722,278.0397452224914,19.984270004180427,999.2135002090214,0.0,0.0,19.0,19.999881902,19.9868928,19.0,19.999881902,19.9868928
15,12.43378,270.5429949298078,20.0,1350.5112956338874,0.0,0.0,19.0,19.9999645706,19.99475712,19.0,19.9999645706,19.99475712
16,30.90014,331.7758025925231,10.96016655008873,548.0083275044365,0.0,0.0,19.0,19.99998937118,19.997902848,19.0,19.99998937118,19.997902848
17,38.6235,403.64682784719645,0.6027868091738409,30.139340458692043,0.0,40.0,19.0,19.999996811354,15.1991611392,19.0,22.0,22.0
18,45.54258,381.83951848957577,0.0,0.0,0.0,40.0,19.0,15.7999990434062,13.279664455679999,19.0,22.0,21.27966445568
19,43.55356,371.75392597329414,0.0,0.0,0.0,40.0,19.0,14.539999713021858,17.311865782272,19.0,22.0,22.0
20,42.41986,429.3129753784311,0.0,0.0,0.0,40.0,19.0,14.161999913906556,14.124746312908801,19.0,22.0,22.0
