Hour,Electricity_Price_$/MWh,Carbon_Intensity_kg_CO2/MWh,Curtailment_Available,Battery_Charge_MW,Battery_Discharge_MW,Battery_SOC_MWh,Load_Jobs_As_Is_MW,Load_Curtailment_Only_MW,Load_Carbon_Aware_MW,Load_Jobs_As_Is_With_Battery_MW,Load_Curtailment_Only_With_Battery_MW,Load_Carbon_Aware_With_Battery_MW
0,23.973713224089863,492.6383565199139,0.0,0.0,0.0,40.0,20.0,14.0,12.0,20.0,14.0,12.0
1,19.404998196294496,472.27678901263556,0.0,0.0,0.0,40.0,20.0,14.000000000000002,11.999999999999998,20.0,14.000000000000002,11.999999999999998
2,27.19112724803896,453.2183776789001,0.0,0.0,0.0,40.0,20.0,14.000000000000002,11.999999999999998,20.0,14.000000000000002,11.999999999999998
3,36.57763713346599,431.59170862901897,0.0,0.0,0.0,40.0,20.0,14.000000000000002,11.999999999999998,20.0,14.000000000000002,11.999999999999998
4,25.626773002213312,422.68694871757685,0.0,0.0,0.0,40.0,20.0,14.000000000000002,11.999999999999998,20.0,14.000000000000002,11.999999999999998
5,29.244618667868743,399.0574160098774,0.0,0.0,0.0,40.0,20.0,14.000000000000002,11.999999999999998,20.0,14.000000000000002,11.999999999999998
6,47.63370252405913,358.30072397990057,0.0,0.0,0.0,40.0,20.0,14.000000000000002,17.599999999999998,20.0,14.000000000000002,17.599999999999998
7,45.02176350976108,335.9926407057026,0.0,0.0,0.0,40.0,20.0,14.000000000000002,19.28,20.0,14.000000000000002,19.28
8,38.74420491252038,275.39005675633723,0.0,0.0,0.0,40.0,20.0,14.000000000000002,19.784,20.0,14.000000000000002,19.784
9,49.94708206648593,287.54000513673736,0.0,0.0,0.0,40.0,20.0,14.000000000000002,19.9352,20.0,14.000000000000002,19.9352
10,44.28303951426688,212.15648443519552,1.0,20.0,0.0,58.0,20.0,18.8,19.98056,40.0,34.8,29.98056
11,45.76304936577397,286.71620105432834,0.0,0.0,0.0,58.0,20.0,14.96,19.994168000000002,20.0,14.96,19.994168000000002
12,51.93569817252828,218.7700204329502,0.0,0.0,0.0,58.0,20.0,14.192000000000002,19.9982504,20.0,14.192000000000002,19.9982504
13,34.182645437073646,179.39639936415128,1.0,20.0,0.0,76.0,20.0,18.8384,19.99947512,40.0,34.8384,29.99947512
14,34.19103839666232,187.96941449050084,1.0,0.0,0.0,76.0,20.0,19.76768,19.999842536,20.0,19.76768,19.999842536
15,41.108301483870434,258.4081552793134,0.0,0.0,0.0,76.0,20.0,15.153536,19.9999527608,20.0,15.153536,19.9999527608
16,34.39735103732461,268.29611644022447,0.0,0.0,0.0,76.0,20.0,14.230707200000001,19.99998582824,20.0,14.230707200000001,19.99998582824
17,41.3962643373,332.5971580573846,0.0,0.0,20.0,56.0,20.0,14.046141440000001,19.999995748472,0.0,-1.9538585599999987,9.999995748472
18,27.73580739583031,364.19712873720636,0.0,0.0,20.0,36.0,20.0,14.009228288000001,14.399998724541598,0.0,-1.990771711999999,4.399998724541598
19,19.819284712779854,386.6379893856719,0.0,0.0,20.0,16.0,20.0,14.0018456576,12.719999617362479,0.0,-1.9981543423999995,2.719999617362479
20,39.22519015137244,399.59618845794785,0.0,0.0,16.0,0.0,20.0,14.000369131520001,12.215999885208742,4.0,1.2003691315200005,4.215999885208742
21,22.587187878309507,410.62060043740615,0.0,0.0,0.0,0.0,20.0,14.000073826304002,12.06479996556262,20.0,14.000073826304002,12.06479996556262
22,22.549844580736814,466.5083620056551,0.0,0.0,0.0,0.0,20.0,14.0000147652608,12.019439989668784,20.0,14.0000147652608,12.019439989668784
23,9.11312711595632,500.0,0.0,0.0,0.0,0.0,20.0,14.000002953052162,12.005831996900634,20.0,14.000002953052162,12.005831996900634
24,15.644938203798539,500.0,0.0,0.0,0.0,0.0,20.0,14.000000590610433,12.001749599070187,20.0,14.000000590610433,12.001749599070187
25,21.398493323342905,457.5167105820006,0.0,0.0,0.0,0.0,20.0,14.000000118122088,12.000524879721056,20.0,14.000000118122088,12.000524879721056
26,12.801670323854998,485.09923834320125,0.0,0.0,0.0,0.0,20.0,14.00000002362442,12.000157463916315,20.0,14.00000002362442,12.000157463916315
27,27.398982428967162,467.6255385698472,0.0,0.0,0.0,0.0,20.0,14.000000004724885,12.000047239174894,20.0,14.000000004724885,12.000047239174894
28,22.694890480649562,398.484276913966,0.0,0.0,0.0,0.0,20.0,14.00000000094498,12.000014171752467,20.0,14.00000000094498,12.000014171752467
29,28.784164325115974,393.43460994374396,0.0,0.0,0.0,0.0,20.0,14.000000000188997,12.000004251525738,20.0,14.000000000188997,12.000004251525738
