Hour,April_1_2024_MWh,August_1_2024_MWh
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,34.6901680384387,0.0
8,702.881851925494,37.758442713657374
9,1621.967868664903,156.68027276789948
10,2268.80766716339,134.81600141863925
11,2780.6045182960656,145.79762236928073
12,2463.8503690879006,254.31317530703816
13,2066.2195922369365,128.20431398736383
14,3368.8437466760524,253.0950314999052
15,2480.0045835617198,99.27456852210689
16,3275.2007390097183,198.91404850632472
17,1325.9098347481975,102.77743774876858
18,56.51126336004758,19.254556995734
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
