Renewable_Zone,State,Curtailment_Ratio_Pct_2034,Curtailment_Ratio_Pct_2039
IID,CA,0.08,0.05
San Diego,CA,0.54,0.48
OSW-Humboldt,CA,1.14,0.77
PG&E North Coast,CA,2.42,0.89
SCE Eastern,CA,1.36,2.01
OOS W-Tesla,WY,0.0,2.18
PG&E Humboldt,CA,3.79,2.95
PG&E Central Valley,CA,3.62,3.37
SDG&E Eastern and Bulk,CA,2.92,3.39
SCE Metro,CA,3.04,3.43
SCE Northern,CA,4.0,3.94
PG&E Kern,CA,5.06,4.0
PG&E Greater Bay Area,CA,5.08,4.01
OOS W-WY,WY,4.17,4.39
PG&E North Valley,CA,4.5,4.42
SCE North of Lugo,CA,3.72,4.7
NW,PNW,4.77,5.25
East of Pisgah,CA,5.72,5.32
PG&E Central Coast,CA,3.3,5.4
OOS W-ID,ID,4.8,5.44
OSW-Diablo,CA,5.44,5.76
SMUD,CA,7.07,6.06
PG&E North Bay,CA,6.85,6.27
PG&E Fresno,CA,9.32,10.99
NV,NV,12.91,14.38
OOS W-SunZia,NM,12.38,16.34
NM,NM,28.0,33.65
OOS W-NW,PNW,0.0,35.09
AZ,AZ,30.26,37.96
